SNR_dB,BLER,Throughput_Mbps,Latency_ms,Jitter_ms
0,1.00e+00,0.00,10.00,2.10
5,1.00e+00,0.00,10.00,2.10
10,5.50e-01,70.34,4.44,1.20
15,1.00e-05,156.31,2.00,0.10
20,1.00e-05,156.31,2.00,0.10
25,1.00e-05,156.31,2.00,0.10
30,1.00e-05,156.31,2.00,0.10
